text_len,sender_importance,deadline_hours,est_duration_min,ambiguity,school_topic,work_topic,noise,difficulty
107,4,119,166,0.6607616147255355,0,0,0.4023421228016666,0.3964569688353213
778,4,67,100,0.3656575463045776,1,1,0.9577984191847956,0.41939452778274655
661,2,6,116,0.22712220525231563,0,1,-1.4262280038595097,0.5362733231513894
450,2,107,73,0.08361635937751744,1,1,-0.509473990046832,0.05016981562651046
444,5,114,161,0.10175125132087781,1,1,-0.07442908252874762,0.061050750792526684
861,5,34,27,0.9594303187635166,0,1,0.19578969570162097,0.77565819125811
104,3,49,60,0.7884566196747949,0,0,-2.109638751349016,0.47307397180487687
703,2,5,178,0.24495924997100726,0,0,-1.2573935693045972,0.5469755499826043
217,2,96,94,0.5291472368374629,0,0,-0.016660476090602703,0.3174883421024777
112,3,93,43,0.7142327243500672,0,1,1.013140718400172,0.42853963461004035
535,3,4,83,0.3525379020024927,1,0,-0.4190399462296813,0.4115227412014956
976,1,84,57,0.4399880581597845,0,1,-0.6668900940585202,0.4639928348958707
741,1,50,101,0.7183819195727064,1,0,0.5286684468694359,0.6310291517436238
765,3,66,53,0.2274543147531337,0,1,-0.3280709719332039,0.33647258885188025
723,4,27,80,0.526344358466658,0,0,0.880898468553479,0.5158066150799947
790,1,98,164,0.21008817168623228,1,0,-0.2213257536248592,0.3260529030117394
522,3,49,28,0.0030776010155260103,1,1,-1.115215859388617,0.0018465606093156061
145,1,101,141,0.690263735565004,0,1,1.420596274722949,0.41415824133900236
842,2,19,27,0.7072648596212424,1,0,1.2372609327869362,0.6243589157727454
461,4,71,90,0.9957226985969202,1,0,-0.9554794776029498,0.5974336191581521
510,2,38,125,0.18101544439479955,0,1,0.39570359864166116,0.10860926663687973
383,2,115,172,0.73958032506574,1,0,-0.32666937755649134,0.443748195039444
198,5,67,56,0.9479674243626378,0,1,0.619064126750466,0.5687804546175826
928,1,86,23,0.6445803368111058,0,1,-0.8756884517596438,0.5867482020866635
785,1,12,138,0.9631405604700852,1,0,0.8718422024518231,0.7778843362820511
650,5,81,162,0.9944409852777842,1,1,1.1949514857672319,0.7966645911666705
414,3,13,108,0.8016244017715392,1,1,-0.9473427387423589,0.4809746410629235
826,1,44,24,0.9992859087058765,0,0,0.06770014671797596,0.7995715452235259
554,3,28,97,0.6258244593077614,0,0,1.2159650047172181,0.3754946755846568
454,3,2,79,0.4970556926136773,1,1,-1.0013625981567575,0.4982334155682064
461,2,71,89,0.917636254370219,0,0,-0.668826611318101,0.5505817526221314
242,3,30,23,0.830955841433985,1,1,0.6617380063625091,0.498573504860391
110,4,62,67,0.11011207334373563,1,1,-0.16068913005941426,0.06606724400624138
563,2,92,179,0.3027226467987649,1,1,-1.5752747701719036,0.18163358807925895
890,5,23,22,0.26064512042998556,1,0,-0.320219607425495,0.3563870722579914
82,3,85,165,0.8552616593777087,0,0,1.7464404686428723,0.5131569956266252
861,5,37,100,0.2332453543068037,1,0,2.062888339767829,0.3399472125840822
831,1,41,111,0.304044772474095,0,0,-0.6370864117446028,0.382426863484457
291,2,70,169,0.5187886542957384,0,1,-0.9133017305829748,0.311273192577443
639,4,75,50,0.07611948671376045,0,1,-0.4580119568671684,0.24567169202825628
181,5,79,177,0.9612296426379177,1,0,1.8019004212337544,0.5767377855827506
762,2,25,60,0.4910627765359058,1,1,0.8420937024676449,0.49463766592154346
706,5,70,72,0.1904337240292413,1,0,1.464085132591689,0.3142602344175448
367,1,33,89,0.2708207378237415,0,1,0.9986817568981882,0.1624924426942449
86,3,34,114,0.7980837470871617,1,0,-1.3193641842250454,0.478850248252297
971,2,113,68,0.6340064801784223,1,0,-0.9488478296219196,0.5804038881070535
456,3,13,145,0.4646260242233954,1,0,-0.6961731444863017,0.2787756145340372
895,5,50,18,0.33160136738801504,0,0,-0.5219746909350105,0.398960820432809
684,4,53,124,0.9006843630088608,0,0,-0.6783069929496,0.7404106178053165
782,4,30,123,0.7725645402921796,0,0,-0.5619648698394037,0.6635387241753077
764,2,94,103,0.7181120373498618,1,0,0.6404903300269773,0.6308672224099171
210,5,59,116,0.44600050461723306,0,1,0.135796348587054,0.2676003027703398
376,3,86,138,0.9811601507598122,0,1,1.2197780781704188,0.5886960904558873
477,4,47,164,0.7100702967863061,0,0,0.25183831515693467,0.42604217807178363
507,4,107,51,0.42362472498665893,0,1,-0.6762764561108433,0.25417483499199534
62,4,88,93,0.9605520437314566,1,0,0.18846195148480294,0.576331226238874
555,4,41,107,0.8957249965310168,1,1,-1.5113104631361634,0.53743499791861
171,3,115,71,0.7399651935443334,0,1,-2.3118372071381894,0.44397911612660007
748,4,104,175,0.7669961216200817,0,0,0.6432121633028065,0.660197672972049
689,5,71,99,0.423627499693905,0,1,1.0183100587941716,0.454176499816343
924,2,3,112,0.5073505036301726,0,0,0.07212942105984083,0.7044103021781036
749,3,71,47,0.19154733903684296,1,0,-0.39130560987651414,0.31492840342210576
379,1,83,83,0.5953962455338484,0,1,-1.3418702060347765,0.35723774732030905
968,2,45,118,0.36991654835907206,0,0,1.166925030104652,0.42194992901544326
422,4,18,85,0.34743832557035315,1,1,0.49253013132496903,0.20846299534221188
339,4,68,142,0.9482282011380659,1,1,0.2911735486469627,0.5689369206828395
907,2,96,37,0.16478343318399735,0,1,-0.004823783895256624,0.2988700599103984
383,3,39,40,0.8299735840935467,1,1,-0.46957071878155826,0.497984150456128
94,5,55,70,0.2814685710080941,1,0,-1.113282891311426,0.16888114260485645
